Year;Highest temperature;Date;Lowest temperature;Date;Average temperature
1901;28.6;June;17.99;January;24.22
1902;28.68;May;18.78;December;24.33
1903;28.41;June;18.29;December;23.98
1904;27.85;June;17.77;January;23.85
1905;28.69;June;17.4;January;23.93
1906;29.06;May;17.5;January;24.1
1907;27.66;June;18.46;December;24.01
1908;28.49;June;18.15;December;23.95
1909;27.97;May;17.79;January;23.78
1910;28.36;May;18.05;December;23.76
1911;28.55;May;18.52;January;23.95
1912;28.53;June;18.44;December;24.11
1913;27.95;May;18.2;January;23.88
1914;28.46;June;18.73;December;24.03
1915;29.17;May;17.93;January;24.29
1916;28.16;May;18.17;December;24.08
1917;27.41;June;18.16;January;23.57
1918;28.27;May;17.25;January;23.83
1919;28.3;June;18.58;December;24.01
1920;27.76;June;18.27;January;23.91
1921;30.78;May;18.61;January;24.58
1922;29.8;May;18.3;January;24.22
1923;28.95;June;18.23;January;24.05
1924;28.6;June;18.06;January;24.14
1925;27.82;May;17.53;January;23.95
1926;28.97;June;18.65;January;24.06
1927;27.93;June;18.15;January;23.94
1928;28.88;May;18.66;January;24.29
1929;28.58;May;18.25;January;24.08
1930;28.11;May;17.75;January;23.93
1931;28.68;June;19.29;December;24.44
1932;28.52;June;18.72;January;24.21
1933;27.92;June;17.84;January;23.92
1934;28.22;June;17.8;January;24.13
1935;28.88;May;17.54;January;24.06
1936;28.97;May;18.06;January;24.12
1937;28.69;June;18.02;January;23.98
1938;28.97;May;18.15;January;23.98
1939;28.63;May;18.4;January;24.01
1940;28.38;May;18.1;January;24.05
1941;28.89;May;18.33;January;24.66
1942;28.82;May;18.07;January;24.29
1943;27.82;May;18.32;January;23.95
1944;28.93;May;18.0;January;24.04
1945;28.81;June;17.33;January;23.92
1946;28.48;May;18.31;January;24.42
1947;28.82;May;17.72;January;24.36
1948;28.71;May;18.25;January;24.1
1949;28.35;May;18.4;December;24.09
1950;28.34;May;18.33;December;23.73
1951;28.07;May;19.09;January;24.25
1952;28.41;May;18.67;January;24.34
1953;28.99;May;18.11;January;24.58
1954;28.84;May;17.77;January;24.13
1955;28.01;June;18.42;January;23.97
1956;28.72;May;18.01;January;23.95
1957;28.13;June;18.2;January;23.97
1958;29.01;June;19.5;January;24.62
1959;28.47;June;18.39;January;24.29
1960;28.5;June;18.31;January;24.29
1961;28.07;May;18.3;December;24.0
1962;28.25;June;17.54;January;24.04
1963;28.24;June;17.59;January;24.15
1964;28.06;May;17.71;January;24.09
1965;28.44;June;18.47;January;24.07
1966;28.27;May;18.69;January;24.36
1967;28.36;June;18.15;January;24.11
1968;28.24;June;17.52;January;23.94
1969;28.68;June;18.07;January;24.46
1970;28.71;May;18.52;December;24.27
1971;27.58;May;18.12;January;23.91
1972;28.7;June;18.4;January;24.1
1973;28.71;May;18.51;January;24.41
1974;27.89;June;17.79;January;24.0
1975;28.16;May;17.71;January;23.74
1976;27.94;May;18.2;January;24.07
1977;28.04;June;18.35;January;24.35
1978;28.92;May;18.14;January;24.24
1979;28.83;June;18.97;January;24.57
1980;28.94;May;18.81;January;24.55
1981;28.51;May;18.4;January;24.27
1982;28.2;June;18.76;January;24.15
1983;28.6;June;18.38;January;24.12
1984;28.88;May;18.28;January;24.25
1985;28.52;May;18.67;January;24.44
1986;28.19;June;18.24;January;24.21
1987;28.9;June;18.44;January;24.57
1988;28.6;May;18.58;January;24.42
1989;28.13;May;17.68;January;24.03
1990;28.11;June;18.56;January;24.22
1991;28.35;May;17.99;January;24.28
1992;28.4;June;18.36;January;24.15
1993;28.73;May;18.37;January;24.43
1994;28.72;May;19.3;December;24.46
1995;29.88;June;19.18;January;25.28
1996;28.37;May;18.96;December;24.66
1997;28.33;June;17.86;January;24.25
1998;29.18;May;18.84;January;24.69
1999;28.13;May;18.32;January;24.66
2000;28.92;May;18.87;January;24.58
2001;29.46;May;18.5;January;24.81
2002;29.56;May;18.78;January;25.03
2003;29.01;June;18.6;January;24.7
2004;28.12;May;18.83;January;24.8
2005;28.99;June;19.07;January;24.58
2006;28.82;May;19.96;January;25.01
2007;28.84;May;19.24;January;24.77
2008;28.42;May;18.49;January;24.61
2009;28.77;June;19.79;January;25.11
2010;29.19;May;19.15;January;25.19
2011;28.92;May;18.32;January;24.71
2012;28.91;June;18.25;January;24.68
2013;29.06;May;18.88;January;24.82
2014;29.42;June;18.81;January;24.73
2015;28.82;May;19.02;January;24.91
2016;30.41;May;20.92;January;26.45
2017;30.47;May;20.59;January;26.29
